cve_id,title,description,cvss_v2_base_score,cvss_v3_base_score,cvss_v2_severity,cvss_v3_severity,cvss_v2_vector,cvss_v3_vector,active_risk_score,url,published_date,added_date,modified_date,is_exploitable,is_exploited_in_the_wild,is_cisa_kev,is_ai_generated_cvss_score,is_emergent_threat,epss_score,epss_percentile
CVE-2010-66178,PostgreSQL Command Injection,"PostgreSQL is vulnerable to command injection, which may allow an attacker to impact confidentiality, integrity, or availability.",5.6,3.8,MEDIUM,LOW,AV:N/AC:L/Au:N/C:C/I:C/A:C,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,4.59,https://nvd.nist.gov/vuln/detail/CVE-2010-66178,2023-09-30,2023-11-07,2024-09-21,True,False,False,False,True,0.9374,78.79
CVE-2022-76261,OpenSSL Insecure Deserialization,"OpenSSL is vulnerable to insecure deserialization, which may allow an attacker to impact confidentiality, integrity, or availability.",8.3,5.4,HIGH,MEDIUM,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:L/A:L,9.1,https://nvd.nist.gov/vuln/detail/CVE-2022-76261,2011-08-13,2011-12-13,2012-06-27,True,True,True,False,True,0.3648,87.05
CVE-2019-18324,Kubernetes API Server Path Traversal,"Kubernetes API Server is vulnerable to path traversal, which may allow an attacker to impact confidentiality, integrity, or availability.",6.1,4.5,MEDIUM,MEDIUM,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,0.25,https://nvd.nist.gov/vuln/detail/CVE-2019-18324,2015-05-20,2015-09-26,2016-01-26,True,False,False,True,True,0.7359,53.15
CVE-2017-21412,Fortinet FortiOS Information Disclosure,"Fortinet FortiOS is vulnerable to information disclosure, which may allow an attacker to impact confidentiality, integrity, or availability.",5.7,4.0,MEDIUM,MEDIUM,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,9.05,https://nvd.nist.gov/vuln/detail/CVE-2017-21412,2022-08-04,2022-12-19,2023-08-06,True,True,False,False,True,0.932,79.31
CVE-2013-71498,VMware ESXi Remote Code Execution,"VMware ESXi is vulnerable to remote code execution, which may allow an attacker to impact confidentiality, integrity, or availability.",0.1,7.2,LOW,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,4.97,https://nvd.nist.gov/vuln/detail/CVE-2013-71498,2018-11-13,2019-02-26,2019-10-30,False,False,True,True,True,0.6198,67.7
CVE-2022-42951,MySQL Authentication Bypass,"MySQL is vulnerable to authentication bypass, which may allow an attacker to impact confidentiality, integrity, or availability.",7.6,4.8,HIGH,MEDIUM,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,8.14,https://nvd.nist.gov/vuln/detail/CVE-2022-42951,2007-01-08,2007-05-07,2008-01-01,False,False,False,False,True,0.6943,77.6
CVE-2007-87302,Chrome Directory Traversal,"Chrome is vulnerable to directory traversal, which may allow an attacker to impact confidentiality, integrity, or availability.",2.5,0.6,LOW,LOW,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,0.21,https://nvd.nist.gov/vuln/detail/CVE-2007-87302,2006-03-19,2006-04-12,2006-10-26,True,True,True,False,False,0.9732,38.28
CVE-2025-67652,Linux Kernel Directory Traversal,"Linux Kernel is vulnerable to directory traversal, which may allow an attacker to impact confidentiality, integrity, or availability.",9.0,3.7,CRITICAL,LOW,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.91,https://nvd.nist.gov/vuln/detail/CVE-2025-67652,2018-01-18,2018-04-30,2018-12-15,True,True,False,False,False,0.284,75.91
CVE-2019-79508,Kubernetes API Server Cross-Site Scripting,"Kubernetes API Server is vulnerable to cross-site scripting, which may allow an attacker to impact confidentiality, integrity, or availability.",1.3,2.9,LOW,LOW,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,5.07,https://nvd.nist.gov/vuln/detail/CVE-2019-79508,2023-11-27,2024-05-17,2024-09-28,True,False,False,True,True,0.663,86.58
CVE-2019-42412,Chrome Insecure Deserialization,"Chrome is vulnerable to insecure deserialization, which may allow an attacker to impact confidentiality, integrity, or availability.",7.5,8.9,HIGH,HIGH,AV:L/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,5.74,https://nvd.nist.gov/vuln/detail/CVE-2019-42412,2020-08-28,2020-10-21,2020-11-09,False,True,True,True,False,0.2321,28.11
CVE-2006-21254,Firefox Path Traversal,"Firefox is vulnerable to path traversal, which may allow an attacker to impact confidentiality, integrity, or availability.",1.5,3.2,LOW,LOW,AV:L/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.08,https://nvd.nist.gov/vuln/detail/CVE-2006-21254,2019-10-28,2020-01-29,2020-12-14,True,True,False,True,False,0.766,88.96
CVE-2015-23941,Linux Kernel Information Disclosure,"Linux Kernel is vulnerable to information disclosure, which may allow an attacker to impact confidentiality, integrity, or availability.",4.0,0.1,MEDIUM,LOW,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.84,https://nvd.nist.gov/vuln/detail/CVE-2015-23941,2021-10-12,2022-02-04,2022-03-11,True,False,True,False,True,0.0957,67.26
CVE-2007-68169,Microsoft Exchange Information Disclosure,"Microsoft Exchange is vulnerable to information disclosure, which may allow an attacker to impact confidentiality, integrity, or availability.",4.1,3.7,MEDIUM,LOW,AV:N/AC:L/Au:N/C:C/I:C/A:C,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.56,https://nvd.nist.gov/vuln/detail/CVE-2007-68169,2025-05-27,2025-06-12,2026-06-01,False,True,True,True,True,0.6951,80.33
CVE-2010-35469,Cisco ASA Remote Code Execution,"Cisco ASA is vulnerable to remote code execution, which may allow an attacker to impact confidentiality, integrity, or availability.",8.2,4.2,HIGH,MEDIUM,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.5,https://nvd.nist.gov/vuln/detail/CVE-2010-35469,2012-03-29,2012-07-23,2013-03-30,True,False,True,False,False,0.715,50.75
CVE-2018-48673,Fortinet FortiOS Information Disclosure,"Fortinet FortiOS is vulnerable to information disclosure, which may allow an attacker to impact confidentiality, integrity, or availability.",9.8,6.0,CRITICAL,MEDIUM,AV:N/AC:L/Au:N/C:C/I:C/A:C,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,1.22,https://nvd.nist.gov/vuln/detail/CVE-2018-48673,2015-11-05,2016-01-27,2016-12-27,True,False,False,True,False,0.4987,42.85
CVE-2022-07510,Kubernetes API Server Information Disclosure,"Kubernetes API Server is vulnerable to information disclosure, which may allow an attacker to impact confidentiality, integrity, or availability.",8.0,6.9,HIGH,MEDIUM,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:L/A:L,4.42,https://nvd.nist.gov/vuln/detail/CVE-2022-07510,2016-10-08,2017-03-29,2017-04-14,False,False,False,False,True,0.5341,81.47
CVE-2016-20600,VMware ESXi Insecure Deserialization,"VMware ESXi is vulnerable to insecure deserialization, which may allow an attacker to impact confidentiality, integrity, or availability.",5.6,8.6,MEDIUM,HIGH,AV:L/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:L/A:L,6.45,https://nvd.nist.gov/vuln/detail/CVE-2016-20600,2006-12-23,2007-05-22,2008-01-27,False,False,True,True,False,0.655,48.05
CVE-2019-62915,OpenSSL Privilege Escalation,"OpenSSL is vulnerable to privilege escalation, which may allow an attacker to impact confidentiality, integrity, or availability.",5.1,1.0,MEDIUM,LOW,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,8.86,https://nvd.nist.gov/vuln/detail/CVE-2019-62915,2012-05-01,2012-08-04,2012-10-19,False,False,True,True,True,0.2364,86.8
CVE-2022-49980,Apache HTTP Server Remote Code Execution,"Apache HTTP Server is vulnerable to remote code execution, which may allow an attacker to impact confidentiality, integrity, or availability.",1.1,1.8,LOW,LOW,AV:L/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,5.1,https://nvd.nist.gov/vuln/detail/CVE-2022-49980,2009-10-03,2010-01-18,2011-01-09,False,False,True,True,False,0.3751,93.55
CVE-2013-96410,OpenSSL Information Disclosure,"OpenSSL is vulnerable to information disclosure, which may allow an attacker to impact confidentiality, integrity, or availability.",9.0,7.4,CRITICAL,HIGH,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:L/A:L,7.92,https://nvd.nist.gov/vuln/detail/CVE-2013-96410,2015-10-09,2016-01-15,2016-11-23,True,False,True,True,False,0.3214,62.3
CVE-2007-47727,Docker Engine Authentication Bypass,"Docker Engine is vulnerable to authentication bypass, which may allow an attacker to impact confidentiality, integrity, or availability.",4.4,8.1,MEDIUM,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.4,https://nvd.nist.gov/vuln/detail/CVE-2007-47727,2022-07-07,2022-07-19,2023-04-16,False,True,False,True,True,0.099,49.39
CVE-2009-83812,OpenSSL Information Disclosure,"OpenSSL is vulnerable to information disclosure, which may allow an attacker to impact confidentiality, integrity, or availability.",8.3,5.9,HIGH,MEDIUM,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,4.05,https://nvd.nist.gov/vuln/detail/CVE-2009-83812,2021-04-03,2021-09-22,2022-05-17,False,False,True,False,True,0.5394,44.21
CVE-2012-48905,Microsoft Exchange Remote Code Execution,"Microsoft Exchange is vulnerable to remote code execution, which may allow an attacker to impact confidentiality, integrity, or availability.",4.7,0.9,MEDIUM,LOW,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:L/A:L,3.6,https://nvd.nist.gov/vuln/detail/CVE-2012-48905,2022-05-31,2022-11-04,2023-06-06,False,True,True,False,False,0.737,9.4
CVE-2014-20554,MySQL Information Disclosure,"MySQL is vulnerable to information disclosure, which may allow an attacker to impact confidentiality, integrity, or availability.",4.6,1.6,MEDIUM,LOW,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.35,https://nvd.nist.gov/vuln/detail/CVE-2014-20554,2016-11-03,2017-04-09,2018-01-01,False,False,True,False,True,0.8508,3.12
CVE-2023-81318,MySQL Privilege Escalation,"MySQL is vulnerable to privilege escalation, which may allow an attacker to impact confidentiality, integrity, or availability.",9.3,9.0,CRITICAL,CRITICAL,AV:L/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,5.15,https://nvd.nist.gov/vuln/detail/CVE-2023-81318,2006-09-25,2006-10-05,2007-06-30,False,False,True,False,False,0.4237,6.28
CVE-2008-10436,Microsoft Exchange Remote Code Execution,"Microsoft Exchange is vulnerable to remote code execution, which may allow an attacker to impact confidentiality, integrity, or availability.",0.5,0.4,LOW,LOW,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.29,https://nvd.nist.gov/vuln/detail/CVE-2008-10436,2013-05-18,2013-09-11,2014-01-15,False,True,False,True,True,0.0336,88.53
CVE-2022-74205,Linux Kernel Sql Injection,"Linux Kernel is vulnerable to SQL injection, which may allow an attacker to impact confidentiality, integrity, or availability.",4.8,9.2,MEDIUM,CRITICAL,AV:L/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:L/A:L,9.32,https://nvd.nist.gov/vuln/detail/CVE-2022-74205,2014-06-05,2014-07-18,2015-01-08,False,True,False,True,False,0.0086,0.0
CVE-2019-83077,Firefox Insecure Deserialization,"Firefox is vulnerable to insecure deserialization, which may allow an attacker to impact confidentiality, integrity, or availability.",3.9,4.2,LOW,MEDIUM,AV:N/AC:L/Au:N/C:C/I:C/A:C,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.86,https://nvd.nist.gov/vuln/detail/CVE-2019-83077,2016-01-10,2016-02-28,2016-10-30,False,False,False,True,True,0.7194,83.41
CVE-2017-73180,Firefox Remote Code Execution,"Firefox is vulnerable to remote code execution, which may allow an attacker to impact confidentiality, integrity, or availability.",3.0,0.9,LOW,LOW,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.36,https://nvd.nist.gov/vuln/detail/CVE-2017-73180,2024-08-14,2024-11-11,2025-02-14,True,False,True,True,False,0.8614,30.78
CVE-2006-05388,Apache HTTP Server Command Injection,"Apache HTTP Server is vulnerable to command injection, which may allow an attacker to impact confidentiality, integrity, or availability.",5.1,4.3,MEDIUM,MEDIUM,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,6.37,https://nvd.nist.gov/vuln/detail/CVE-2006-05388,2025-05-08,2025-11-02,2026-07-15,True,False,False,True,False,0.1823,6.8
CVE-2009-15168,Linux Kernel Path Traversal,"Linux Kernel is vulnerable to path traversal, which may allow an attacker to impact confidentiality, integrity, or availability.",8.5,2.6,HIGH,LOW,AV:L/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.06,https://nvd.nist.gov/vuln/detail/CVE-2009-15168,2008-12-30,2009-05-04,2010-01-14,False,False,True,False,True,0.4336,72.45
CVE-2007-83350,Apache HTTP Server Cross-Site Scripting,"Apache HTTP Server is vulnerable to cross-site scripting, which may allow an attacker to impact confidentiality, integrity, or availability.",5.3,6.2,MEDIUM,MEDIUM,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2.3,https://nvd.nist.gov/vuln/detail/CVE-2007-83350,2025-01-30,2025-07-05,2026-06-04,True,False,False,False,False,0.6794,65.93
CVE-2016-60098,Cisco ASA Sql Injection,"Cisco ASA is vulnerable to SQL injection, which may allow an attacker to impact confidentiality, integrity, or availability.",3.7,9.3,LOW,CRITICAL,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.42,https://nvd.nist.gov/vuln/detail/CVE-2016-60098,2018-09-28,2018-10-22,2019-08-19,True,True,True,False,True,0.643,79.7
CVE-2018-68399,Kubernetes API Server Command Injection,"Kubernetes API Server is vulnerable to command injection, which may allow an attacker to impact confidentiality, integrity, or availability.",3.7,9.5,LOW,CRITICAL,AV:L/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.93,https://nvd.nist.gov/vuln/detail/CVE-2018-68399,2021-04-05,2021-05-24,2021-11-21,True,False,False,True,False,0.129,44.96
CVE-2014-04622,Firefox Directory Traversal,"Firefox is vulnerable to directory traversal, which may allow an attacker to impact confidentiality, integrity, or availability.",5.6,5.7,MEDIUM,MEDIUM,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.39,https://nvd.nist.gov/vuln/detail/CVE-2014-04622,2013-09-27,2014-03-15,2014-12-02,True,False,True,True,False,0.4227,80.99
CVE-2006-69346,PostgreSQL Privilege Escalation,"PostgreSQL is vulnerable to privilege escalation, which may allow an attacker to impact confidentiality, integrity, or availability.",0.5,5.3,LOW,MEDIUM,AV:L/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.53,https://nvd.nist.gov/vuln/detail/CVE-2006-69346,2007-03-14,2007-08-03,2007-10-21,False,False,True,True,False,0.5828,55.77
CVE-2015-85765,Kubernetes API Server Insecure Deserialization,"Kubernetes API Server is vulnerable to insecure deserialization, which may allow an attacker to impact confidentiality, integrity, or availability.",1.0,2.5,LOW,LOW,AV:L/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.85,https://nvd.nist.gov/vuln/detail/CVE-2015-85765,2023-07-23,2023-12-06,2024-04-16,False,True,True,False,True,0.2763,59.47
CVE-2010-25977,Microsoft Exchange Information Disclosure,"Microsoft Exchange is vulnerable to information disclosure, which may allow an attacker to impact confidentiality, integrity, or availability.",4.8,0.5,MEDIUM,LOW,AV:N/AC:L/Au:N/C:C/I:C/A:C,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.53,https://nvd.nist.gov/vuln/detail/CVE-2010-25977,2016-06-06,2016-06-17,2017-03-06,False,False,False,True,True,0.781,77.98
CVE-2005-67248,Kubernetes API Server Privilege Escalation,"Kubernetes API Server is vulnerable to privilege escalation, which may allow an attacker to impact confidentiality, integrity, or availability.",4.8,1.6,MEDIUM,LOW,AV:L/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.82,https://nvd.nist.gov/vuln/detail/CVE-2005-67248,2016-11-16,2016-12-12,2017-07-07,False,False,True,False,False,0.4115,41.78
CVE-2009-14893,Kubernetes API Server Information Disclosure,"Kubernetes API Server is vulnerable to information disclosure, which may allow an attacker to impact confidentiality, integrity, or availability.",1.1,7.4,LOW,HIGH,AV:L/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2.43,https://nvd.nist.gov/vuln/detail/CVE-2009-14893,2012-01-16,2012-03-09,2012-12-10,True,False,False,True,False,0.2393,73.29
CVE-2023-50801,MySQL Insecure Deserialization,"MySQL is vulnerable to insecure deserialization, which may allow an attacker to impact confidentiality, integrity, or availability.",7.7,2.5,HIGH,LOW,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.0,https://nvd.nist.gov/vuln/detail/CVE-2023-50801,2012-06-15,2012-10-30,2013-03-19,True,False,True,True,False,0.8659,24.16
CVE-2010-10309,Citrix ADC Information Disclosure,"Citrix ADC is vulnerable to information disclosure, which may allow an attacker to impact confidentiality, integrity, or availability.",4.2,9.9,MEDIUM,CRITICAL,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,5.32,https://nvd.nist.gov/vuln/detail/CVE-2010-10309,2015-04-14,2015-09-04,2016-03-12,False,True,True,True,False,0.2036,89.37
CVE-2011-34006,Chrome Insecure Deserialization,"Chrome is vulnerable to insecure deserialization, which may allow an attacker to impact confidentiality, integrity, or availability.",2.8,2.7,LOW,LOW,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.97,https://nvd.nist.gov/vuln/detail/CVE-2011-34006,2019-04-29,2019-05-01,2019-09-14,False,True,False,False,False,0.9937,67.11
CVE-2022-38376,Nginx Command Injection,"Nginx is vulnerable to command injection, which may allow an attacker to impact confidentiality, integrity, or availability.",6.3,9.9,MEDIUM,CRITICAL,AV:N/AC:L/Au:N/C:C/I:C/A:C,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,0.96,https://nvd.nist.gov/vuln/detail/CVE-2022-38376,2008-12-11,2009-01-26,2009-10-19,True,False,True,True,True,0.2113,21.3
CVE-2019-92893,Windows Server Sql Injection,"Windows Server is vulnerable to SQL injection, which may allow an attacker to impact confidentiality, integrity, or availability.",4.7,0.6,MEDIUM,LOW,AV:N/AC:L/Au:N/C:C/I:C/A:C,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:L/A:L,7.62,https://nvd.nist.gov/vuln/detail/CVE-2019-92893,2007-06-09,2007-09-02,2008-02-07,True,True,True,False,False,0.3901,0.48
CVE-2022-25342,Firefox Insecure Deserialization,"Firefox is vulnerable to insecure deserialization, which may allow an attacker to impact confidentiality, integrity, or availability.",3.3,10.0,LOW,CRITICAL,AV:L/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.86,https://nvd.nist.gov/vuln/detail/CVE-2022-25342,2022-05-28,2022-10-10,2023-02-11,True,False,False,True,True,0.3293,25.6
CVE-2013-13033,Firefox Insecure Deserialization,"Firefox is vulnerable to insecure deserialization, which may allow an attacker to impact confidentiality, integrity, or availability.",7.6,1.8,HIGH,LOW,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,0.35,https://nvd.nist.gov/vuln/detail/CVE-2013-13033,2020-03-22,2020-09-02,2020-12-02,False,False,True,True,True,0.013,93.98
CVE-2008-43752,Firefox Remote Code Execution,"Firefox is vulnerable to remote code execution, which may allow an attacker to impact confidentiality, integrity, or availability.",2.8,2.6,LOW,LOW,AV:N/AC:L/Au:N/C:C/I:C/A:C,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:L/A:L,4.92,https://nvd.nist.gov/vuln/detail/CVE-2008-43752,2007-10-14,2008-03-17,2008-07-30,False,False,True,True,True,0.1038,73.5
CVE-2022-88347,Kubernetes API Server Information Disclosure,"Kubernetes API Server is vulnerable to information disclosure, which may allow an attacker to impact confidentiality, integrity, or availability.",6.8,5.9,MEDIUM,MEDIUM,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:L/A:L,7.33,https://nvd.nist.gov/vuln/detail/CVE-2022-88347,2008-06-24,2008-09-01,2008-09-19,False,True,False,True,True,0.5897,97.28
