Name,Agents [r],Exclusions [chip],Last Modified,Modified by [chip],Created on,Created by [chip],Version [r]
Workstations - Dev,7570,devtools,"Jul 17, 2025 at 12:20 AM UTC",Mia Young,"Jul 11, 2021 at 05:21 AM UTC",pbrown,2.13.9
Android Agents - Dublin,7047,usb,"Feb 01, 2024 at 02:08 PM UTC",Emma Johnson,"Jan 26, 2023 at 10:17 PM UTC",hwright,2.3.1
Berlin Office,9918,backups,"Jul 04, 2025 at 06:42 AM UTC",Elliot Rodriguez,"Jun 29, 2024 at 05:51 PM UTC",ethomas,4.0.2
Bangalore Office,5073,backups,"Mar 15, 2023 at 08:10 AM UTC",Casey Wright,"Nov 19, 2022 at 06:39 AM UTC",eclark,2.3.12
Android Agents - Austin,3362,updates,"Jul 10, 2025 at 03:16 PM UTC",Hayden Taylor,"May 16, 2025 at 02:54 AM UTC",myoung40,2.5.10
Stockholm iOS,4555,usb,"May 08, 2025 at 10:13 PM UTC",Emerson Hall,"Jun 27, 2022 at 04:41 AM UTC",ayoung,4.14.20
Servers - QA,2921,cache,"Nov 27, 2024 at 02:10 AM UTC",Cameron Allen,"Sep 16, 2023 at 05:20 AM UTC",acarter,7.14.14
Bangalore iOS,4181,,"Oct 31, 2023 at 03:53 PM UTC",Mia Clark,"Aug 04, 2021 at 07:22 PM UTC",cscott,5.1.2
Servers - QA,6261,drivers,"Nov 13, 2024 at 10:51 AM UTC",Reese Walker,"Nov 28, 2021 at 11:38 AM UTC",arobinson,7.9.5
Policy: EDR Required,8795,backups,"Dec 18, 2023 at 02:23 AM UTC",Jack Carter,"Sep 04, 2023 at 07:50 AM UTC",inelson,7.6.9
Policy: ISO 27001 Baseline,5022,updates,"Jul 05, 2024 at 08:07 PM UTC",Ethan Jackson,"Jul 04, 2021 at 02:13 AM UTC",sclark96,5.9.17
Exclude: drivers,408,,"Aug 01, 2025 at 10:05 AM UTC",Chloe Anderson,"Jul 24, 2025 at 06:09 PM UTC",sthompson,6.11.20
Exclude: temp,6663,backups,"Aug 12, 2025 at 08:55 AM UTC",Alex Harris,"Jun 27, 2022 at 09:22 AM UTC",escott,1.4.20
Linux Agents - Berlin,5375,cache,"Jan 08, 2022 at 10:12 PM UTC",Skyler Jackson,"Jul 14, 2020 at 10:10 PM UTC",ewhite,7.4.8
Windows Agents - Bangalore,7089,updates,"Jan 19, 2025 at 04:35 AM UTC",Emma Nelson,"Jan 03, 2024 at 11:31 PM UTC",janderson,3.2.4
San Francisco HR,8323,vpn,"Aug 19, 2024 at 01:05 PM UTC",Drew Johnson,"May 30, 2024 at 04:41 PM UTC",hallen,4.2.1
macOS Agents - Sydney,60,"backups, logs","Aug 06, 2023 at 06:02 PM UTC",Mason Wright,"Jun 14, 2020 at 12:04 AM UTC",jtaylor,4.15.20
Windows Edge - Prod,5445,,"May 11, 2025 at 01:14 AM UTC",Liam Anderson,"Sep 27, 2024 at 05:57 PM UTC",abrown,5.7.18
Android Workstations - QA,8718,devtools,"Nov 22, 2024 at 10:38 PM UTC",Taylor Allen,"Sep 06, 2023 at 09:02 AM UTC",ethomas,2.4.9
iOS Agents - Chicago,3198,games,"May 14, 2025 at 10:28 AM UTC",Taylor Rodriguez,"Oct 28, 2024 at 02:01 AM UTC",rgreen67,5.10.12
Data Science - macOS,7163,usb,"Aug 04, 2025 at 06:54 AM UTC",Noah Smith,"Mar 24, 2024 at 12:57 AM UTC",onelson,6.1.0
Amsterdam Security,7685,"devtools, usb","Nov 25, 2024 at 08:20 AM UTC",Morgan Thompson,"Aug 05, 2023 at 06:54 AM UTC",crobinson,2.3.10
Zurich iOS,7097,temp,"Jun 12, 2025 at 12:35 PM UTC",Avery Green,"Sep 27, 2023 at 08:13 AM UTC",jbaker,1.13.8
Kiosks - Staging,1110,games,"Jun 09, 2025 at 01:56 PM UTC",Jordan Green,"May 27, 2022 at 03:00 AM UTC",hrobinson,1.6.8
Linux Edge - Dev,9307,usb,"Sep 29, 2023 at 11:42 PM UTC",Isabella Scott,"Aug 20, 2020 at 10:09 PM UTC",ntaylor,2.8.11
Exclude: drivers,1199,updates,"Jul 16, 2025 at 07:44 AM UTC",Avery Baker,"Feb 03, 2021 at 11:39 PM UTC",rbrown,5.7.12
Sydney Office,351,logs,"Aug 30, 2024 at 11:06 AM UTC",Mason Jackson,"Aug 26, 2023 at 05:38 AM UTC",crodriguez,3.0.2
iOS Agents - New York,5516,cache,"Aug 08, 2023 at 12:19 PM UTC",Hayden Carter,"Apr 09, 2023 at 09:22 AM UTC",iclark,7.10.4
Linux Edge - Dev,6643,devtools,"Dec 03, 2024 at 11:21 AM UTC",Casey Scott,"Aug 16, 2024 at 12:10 AM UTC",rbrown,2.6.3
Linux Agents - Sydney,308,temp,"Jun 08, 2025 at 03:43 AM UTC",Jamie Thomas,"Apr 02, 2024 at 12:46 AM UTC",mclark,1.7.0
VDI - Dev,5044,logs,"Feb 08, 2025 at 11:35 PM UTC",Charlie Young,"Nov 10, 2024 at 02:35 AM UTC",orobinson37,1.5.11
macOS Agents - Stockholm,3721,backups,"Mar 23, 2023 at 03:06 AM UTC",Drew Young,"Nov 22, 2022 at 02:43 AM UTC",rscott,1.4.17
Stockholm macOS,1385,devtools,"Mar 19, 2024 at 02:35 PM UTC",Chris Nelson,"Feb 16, 2023 at 09:29 PM UTC",agreen6,7.4.17
Windows Agents - Singapore,7422,"temp, games","Jan 13, 2023 at 07:52 AM UTC",Reese Anderson,"Sep 21, 2021 at 01:30 PM UTC",cthomas,1.15.10
Sales - Edge,6217,devtools,"Sep 19, 2024 at 05:43 AM UTC",Sophia Garcia,"Jul 06, 2024 at 08:35 AM UTC",olee,4.15.6
Policy: EDR Required,3536,media,"Jun 24, 2025 at 06:23 AM UTC",Emerson Martin,"Aug 12, 2021 at 06:35 PM UTC",hjohnson,3.0.8
Policy: EDR Required,4267,backups,"Jul 09, 2024 at 04:54 PM UTC",Isabella Carter,"Jan 20, 2024 at 10:05 PM UTC",sclark,5.4.11
iOS Containers - Prod,4182,drivers,"May 25, 2022 at 02:56 AM UTC",Charlie White,"Jun 10, 2021 at 04:40 AM UTC",hthompson,5.9.13
Amsterdam Linux,8327,updates,"Dec 15, 2022 at 05:45 PM UTC",Emma Clark,"Jun 01, 2021 at 10:57 AM UTC",zadams73,7.0.15
Toronto Office,5657,devtools,"Jan 24, 2025 at 05:57 AM UTC",Jack Clark,"Apr 30, 2023 at 01:30 AM UTC",mjohnson26,1.7.6
Linux Containers - DR,7628,media,"May 07, 2024 at 01:36 AM UTC",Elliot White,"Jul 10, 2020 at 02:09 PM UTC",hmartin,4.7.2
Windows VDI - Dev,6176,vpn,"Sep 07, 2025 at 04:59 AM UTC",Olivia Anderson,"Aug 23, 2025 at 10:26 PM UTC",oharris72,7.5.4
macOS Agents - Dublin,1246,cache,"Feb 17, 2022 at 12:06 AM UTC",Elliot Lewis,"May 17, 2020 at 07:10 AM UTC",amartinez,3.3.10
Linux VDI - QA,8693,backups,"Aug 01, 2025 at 06:37 AM UTC",Avery Green,"Mar 05, 2022 at 11:51 PM UTC",abrown,7.6.17
Kiosks - Staging,5332,,"Apr 13, 2020 at 07:20 PM UTC",Logan Green,"Mar 21, 2020 at 07:46 PM UTC",cwalker,5.5.12
HR - Windows,9883,,"Jan 05, 2025 at 08:12 AM UTC",Sophia Brown,"Sep 26, 2024 at 02:22 PM UTC",swhite68,5.12.17
Engineering - macOS,659,drivers,"Mar 23, 2023 at 04:32 AM UTC",Rowan Lee,"Jan 13, 2023 at 10:16 AM UTC",zsmith,7.14.1
Chicago Office,7504,"temp, logs","Jan 24, 2023 at 01:09 PM UTC",Mia Clark,"Jan 30, 2022 at 08:06 AM UTC",erodriguez14,4.12.15
macOS Workstations - QA,4471,updates,"Aug 26, 2024 at 07:29 PM UTC",Henry Smith,"Oct 27, 2023 at 11:54 PM UTC",abaker,3.1.5
Support - Containers,8827,"usb, games","Jun 07, 2025 at 02:34 AM UTC",Rowan King,"Dec 26, 2020 at 02:28 AM UTC",jharris20,3.9.19
Policy: Hardened,2832,,"Sep 11, 2023 at 09:07 PM UTC",Morgan Young,"Aug 21, 2023 at 11:33 PM UTC",jmartin,6.5.17
Exclude: devtools,647,"devtools, usb","Jan 03, 2024 at 09:14 PM UTC",Mia Harris,"Mar 31, 2023 at 11:16 AM UTC",ajackson,3.6.4
Policy: NIST Moderate,3638,,"Nov 11, 2022 at 09:45 PM UTC",Skyler Lee,"Jan 11, 2022 at 09:51 PM UTC",slee43,4.8.20
Amsterdam Windows,5229,vpn,"Oct 29, 2024 at 05:18 PM UTC",Riley Nelson,"Jan 17, 2024 at 11:12 PM UTC",mcarter57,6.11.5
Berlin Office,7791,"vpn, logs","Jun 01, 2025 at 06:14 PM UTC",Emma Thompson,"May 14, 2024 at 11:16 AM UTC",hking,6.9.2
Windows Laptops - Prod,6068,devtools,"Oct 28, 2024 at 10:50 PM UTC",Harper Allen,"Jun 26, 2022 at 11:13 PM UTC",llewis,1.5.20
HR - Linux,6072,logs,"Dec 21, 2020 at 11:39 PM UTC",Rowan Carter,"Dec 20, 2020 at 10:23 PM UTC",jlewis,4.3.7
Dublin Support,592,"temp, devtools","May 26, 2023 at 08:17 PM UTC",Avery Martinez,"Jun 06, 2020 at 03:43 PM UTC",srodriguez,4.8.3
Sydney Finance,2472,devtools,"Dec 21, 2024 at 08:49 AM UTC",Charlie Young,"May 27, 2023 at 04:36 PM UTC",jlee,7.12.6
Kiosks - Dev,9163,"media, cache","Dec 27, 2023 at 10:46 PM UTC",Chloe Garcia,"Aug 07, 2021 at 10:43 AM UTC",zharris,6.3.7
Android Agents - Bangalore,4248,temp,"May 07, 2025 at 07:37 AM UTC",Olivia Walker,"Mar 23, 2025 at 05:21 PM UTC",aadams,2.2.3
iOS Containers - Prod,5722,"backups, logs","Sep 05, 2025 at 01:24 AM UTC",Emma Harris,"Sep 02, 2025 at 01:52 PM UTC",cwright61,5.7.19
Dublin Windows,2138,"usb, backups","Dec 30, 2024 at 05:03 AM UTC",Sam Young,"Apr 25, 2022 at 10:23 AM UTC",awhite93,3.9.14
macOS Agents - Zurich,6042,"media, updates","Jun 24, 2025 at 07:44 PM UTC",Mia White,"Nov 27, 2024 at 04:22 AM UTC",hcarter,3.10.9
Stockholm Office,8315,,"Aug 21, 2025 at 03:29 AM UTC",Quinn Adams,"Nov 23, 2024 at 08:23 PM UTC",kallen,4.12.20
macOS Agents - Amsterdam,1573,,"Apr 14, 2025 at 06:14 PM UTC",Mason Thompson,"Aug 01, 2022 at 05:23 AM UTC",irodriguez97,1.14.10
Servers - Prod,6460,"temp, vpn","Oct 18, 2024 at 06:49 AM UTC",Noah Thomas,"Feb 12, 2024 at 12:04 AM UTC",dgreen,1.4.16
macOS Kiosks - DR,4966,backups,"Oct 14, 2024 at 12:07 AM UTC",Isabella White,"Oct 08, 2023 at 01:52 PM UTC",nbrown44,4.14.2
Toronto Office,8320,games,"May 26, 2023 at 11:39 PM UTC",Chloe Clark,"Sep 21, 2022 at 04:07 AM UTC",oclark,5.10.9
New York Windows,8816,vpn,"Oct 03, 2022 at 08:09 PM UTC",Elliot Harris,"Dec 01, 2020 at 12:28 AM UTC",osmith67,1.2.5
Security - Android,2433,drivers,"Sep 08, 2022 at 10:27 AM UTC",Ethan Carter,"Jan 11, 2022 at 09:00 AM UTC",jscott11,6.6.12
Workstations - Dev,5152,backups,"Aug 03, 2025 at 09:08 PM UTC",Reese Hall,"May 21, 2025 at 02:02 AM UTC",lwright,3.8.0
macOS Agents - Bangalore,9031,media,"Feb 14, 2024 at 03:38 AM UTC",Emma Scott,"May 14, 2021 at 04:56 PM UTC",lwright,2.5.19
Engineering - Windows,6848,vpn,"Apr 21, 2025 at 01:19 PM UTC",Mason Martinez,"Dec 24, 2020 at 11:31 PM UTC",jthomas,6.6.3
Containers - Staging,712,,"Nov 30, 2020 at 07:17 AM UTC",Taylor Jackson,"Feb 14, 2020 at 11:32 PM UTC",nallen,7.8.15
Data Science - VDI,7597,"backups, games","Jan 09, 2025 at 05:38 PM UTC",Alex Martinez,"Apr 11, 2020 at 03:59 PM UTC",plewis,2.7.9
Policy: ISO 27001 Baseline,7903,"drivers, games","Feb 21, 2025 at 10:11 AM UTC",Casey Young,"Dec 12, 2020 at 11:20 AM UTC",hlewis,4.14.9
San Francisco macOS,9227,temp,"Apr 07, 2022 at 06:20 PM UTC",Skyler Lee,"Sep 29, 2020 at 10:32 PM UTC",cbrown,2.6.18
Amsterdam Office,7331,,"Apr 10, 2024 at 07:40 AM UTC",Zoe Lee,"Feb 22, 2021 at 12:11 PM UTC",lwalker,5.11.16
Paris Android,3083,"logs, devtools","Sep 25, 2024 at 02:04 PM UTC",Logan Anderson,"Jan 30, 2021 at 02:08 PM UTC",callen,5.15.12
Singapore Design,1277,"logs, games","Aug 23, 2024 at 01:17 PM UTC",Mia Lewis,"Mar 28, 2023 at 06:47 PM UTC",tmartinez,5.3.0
Berlin Office,401,,"Aug 28, 2023 at 07:17 PM UTC",Harper Garcia,"Mar 10, 2023 at 04:10 AM UTC",hmartinez,2.4.16
Policy: EDR Required,1085,,"Mar 20, 2025 at 12:56 PM UTC",Olivia Walker,"Dec 02, 2023 at 03:21 AM UTC",kcarter,6.8.15
Policy: Hardened,541,drivers,"Feb 18, 2020 at 06:20 AM UTC",Alex Martin,"Jan 21, 2020 at 10:42 AM UTC",mharris,7.1.16
Policy: CIS Level 2,4607,games,"Aug 17, 2025 at 12:52 PM UTC",Lucas Robinson,"Aug 15, 2025 at 05:29 AM UTC",lgarcia,1.11.6
Exclude: games,632,"updates, devtools","Aug 03, 2025 at 11:08 AM UTC",Jordan Smith,"Oct 06, 2024 at 07:19 PM UTC",cjackson,7.5.6
Toronto Windows,6103,backups,"Aug 20, 2024 at 06:48 PM UTC",Taylor Nelson,"Feb 23, 2023 at 07:21 AM UTC",staylor,4.8.10
Exclude: cache,3611,games,"May 04, 2025 at 12:13 AM UTC",Sam Green,"Aug 31, 2023 at 09:39 AM UTC",hhall,2.12.18
Exclude: drivers,239,"media, devtools","Aug 19, 2025 at 07:17 PM UTC",Parker Rodriguez,"Mar 24, 2024 at 08:55 AM UTC",njackson,5.0.17
Policy: NIST Moderate,8113,drivers,"Oct 10, 2023 at 01:40 AM UTC",Isabella Walker,"Mar 26, 2022 at 07:45 AM UTC",esmith,3.8.2
Policy: ISO 27001 Baseline,3064,,"Mar 28, 2025 at 08:56 PM UTC",Skyler Lewis,"Jun 20, 2024 at 09:11 PM UTC",lscott,2.11.13
iOS Agents - New York,144,devtools,"May 06, 2025 at 03:24 PM UTC",Zoe Thomas,"Jan 03, 2025 at 10:00 AM UTC",hjackson,5.4.11
Exclude: temp,2763,usb,"Jun 16, 2025 at 08:05 PM UTC",Drew Anderson,"May 31, 2025 at 04:02 PM UTC",lrobinson,7.11.8
Bangalore IT,9728,,"May 27, 2025 at 10:19 AM UTC",Hayden Adams,"Nov 10, 2024 at 06:35 PM UTC",etaylor,5.11.11
Policy: FIPS Mode,4685,devtools,"Jan 21, 2024 at 01:26 AM UTC",Taylor Harris,"Aug 14, 2022 at 09:30 AM UTC",hlewis20,2.5.12
Policy: CIS Level 2,4925,backups,"Jul 02, 2024 at 12:26 AM UTC",Elliot Robinson,"Aug 02, 2022 at 03:08 AM UTC",hthomas,6.6.10
Amsterdam Linux,1749,backups,"Jul 12, 2025 at 02:51 AM UTC",Jordan Lewis,"Apr 22, 2024 at 09:20 AM UTC",rmartinez,3.14.16
New York Marketing,4244,vpn,"May 25, 2024 at 07:37 PM UTC",Morgan Thomas,"Dec 17, 2022 at 01:05 AM UTC",pbaker,1.6.16
Windows Edge - QA,2338,"media, vpn","Jul 23, 2020 at 02:35 PM UTC",Sam Jackson,"Jul 03, 2020 at 06:50 AM UTC",hscott,5.10.15
Edge - Staging,6023,,"Mar 13, 2024 at 11:57 PM UTC",Drew Allen,"Mar 21, 2023 at 08:16 PM UTC",ithompson,3.0.11
